# Protein abundances computed from file 'C:\Users\timot\AppData\Local\Temp\knime_KNIME_project78896\fs-IDMer_0-71-78920\000\000\IDMerger_0\20170419_GM_Cyano_1000_R1_BC1_01_2485.mzML.idXML'
# Parameters (relevant only): top=0, average=sum
# Files/samples associated with abundance values below: 1: 'Crux_0000-00-00T00:00:00', 2: 'Crux_2019-01-09T17:14:07', 3: 'Crux_2019-01-09T17:14:11', 4: 'Crux_2019-01-09T17:14:16', 5: 'Crux_2019-01-09T17:14:20', 6: 'Crux_2019-01-09T17:14:28', 7: 'Crux_2019-01-09T17:14:35', 8: 'Crux_2019-01-09T17:14:43', 9: 'Crux_2019-01-09T17:14:51', 10: 'Crux_2019-01-09T17:14:58'
"protein"	"n_proteins"	"protein_score"	"n_peptides"	"abundance_1"	"abundance_2"	"abundance_3"	"abundance_4"	"abundance_5"	"abundance_6"	"abundance_7"	"abundance_8"	"abundance_9"	"abundance_10"
"slr2030"	1	0	40	12	7	10	8	8	23	18	19	13	20
"slr2031"	1	0	50	22	13	23	21	16	43	42	40	40	34
"slr2032"	1	0	16	2	2	10	3	1	19	13	12	9	9
"slr2033"	1	0	17	44	26	45	38	45	28	24	20	16	24
"slr2034"	1	0	39	32	29	29	26	19	43	40	50	43	44
"slr2035"	1	0	32	9	13	11	13	13	30	26	27	30	17
"slr2036"	1	0	7	2	1	1	3	0	4	2	2	2	3
"slr2037"	1	0	45	18	21	9	12	15	36	33	35	44	44
"slr2038"	1	0	25	4	6	6	6	4	9	7	11	14	8
"slr2041"	1	0	15	0	3	1	3	7	6	9	11	7	10
"slr2042"	1	0	20	7	4	2	1	3	12	10	10	16	7
"slr2043"	1	0	28	21	17	20	22	17	25	28	26	27	18
"slr2044"	1	0	31	6	10	7	8	11	17	17	17	15	14
"slr2045"	1	0	9	13	10	5	7	16	9	20	9	9	10
"slr2046"	1	0	13	7	1	1	0	5	11	13	6	13	6
"slr2047"	1	0	41	19	9	13	22	4	21	24	25	19	35
"slr2048"	1	0	56	22	20	24	32	20	27	46	45	37	36
"slr2049"	1	0	34	19	20	21	19	29	50	48	34	41	63
"slr2051"	1	0	54	28	45	40	36	42	70	81	84	73	81
"slr2052"	1	0	25	9	12	8	9	4	25	21	35	22	19
"slr2053"	1	0	18	14	8	12	14	8	10	10	8	10	14
"slr2058"	1	0	156	86	78	80	88	76	96	109	115	119	102
"slr2059"	1	0	18	5	3	2	9	4	8	4	5	8	5
"slr2060"	1	0	53	12	10	15	20	7	35	30	30	28	20
"slr2062"	1	0	82	39	51	33	39	32	62	58	55	55	73
"slr2067"	1	0	28	56	45	56	43	90	171	187	183	247	258
"slr2070"	1	0	18	11	12	10	15	16	16	20	12	25	15
"slr2071"	1	0	10	3	4	4	9	8	23	18	20	21	14
"slr2072"	1	0	70	28	32	22	30	15	38	40	41	42	49
"slr2073"	1	0	19	1	7	4	5	3	16	12	17	14	11
"slr2074"	1	0	19	1	9	8	8	6	20	15	10	16	14
"slr2075"	1	0	16	31	19	24	34	15	29	34	55	79	76
"slr2076"	1	0	102	95	70	86	79	67	184	218	240	304	280
"slr2077"	1	0	84	41	31	33	33	35	48	46	46	61	52
"slr2078"	1	0	19	1	1	4	2	3	10	12	11	8	8
"slr2079"	1	0	22	19	12	23	13	9	16	25	26	27	23
"slr2080"	1	0	30	14	6	8	12	16	22	28	26	16	16
"slr2081"	1	0	26	4	7	8	7	10	13	12	11	16	20
"slr2082"	1	0	15	8	8	10	8	7	5	9	8	10	8
"slr2083"	1	0	7	5	2	3	4	4	0	5	7	6	6
"slr2084"	1	0	19	11	3	3	9	5	10	12	13	7	13
"slr2087"	1	0	43	7	8	8	21	6	22	15	20	17	20
"slr2088"	1	0	64	29	16	18	25	31	63	77	65	69	73
"slr2089"	1	0	59	23	9	17	22	18	56	57	51	52	32
"slr2092"	1	0	28	8	19	7	13	17	13	13	11	19	15
"slr2094"	1	0	57	44	35	43	45	23	90	96	80	78	111
"slr2096"	1	0	15	16	9	13	14	18	21	12	16	16	16
"slr2097"	1	0	26	24	19	22	21	17	31	20	20	24	19
"slr2098"	1	0	105	56	63	65	59	52	95	73	92	96	79
"slr2099"	1	0	34	22	12	22	17	13	22	25	18	20	23
"slr2100"	1	0	53	30	24	29	27	26	38	47	46	41	50
"slr2101"	1	0	8	10	11	9	11	11	7	10	10	14	12
"slr2102"	1	0	44	24	25	16	20	22	34	34	35	26	22
"slr2103"	1	0	35	17	11	16	22	9	24	15	21	25	14
"slr2104"	1	0	111	33	39	22	35	31	61	66	60	64	62
"slr2105"	1	0	47	11	16	17	17	20	29	26	28	21	19
"slr2107"	1	0	30	18	12	11	7	10	14	12	12	13	15
"slr2108"	1	0	54	14	24	22	24	21	39	39	40	38	33
"slr2110"	1	0	9	5	9	10	3	6	3	4	5	4	5
"slr2111"	1	0	18	12	19	17	19	11	18	9	7	17	13
"slr2112"	1	0	4	0	0	1	0	0	1	0	1	1	3
"slr2114"	1	0	38	21	18	10	16	19	22	34	20	20	18
"slr2115"	1	0	84	26	23	28	35	19	48	44	40	39	47
"slr2116"	1	0	34	17	16	18	17	18	37	27	25	36	22
"slr2117"	1	0	26	4	13	14	14	9	18	11	12	19	8
"slr2118"	1	0	56	28	23	29	16	31	29	42	32	33	29
"slr2119"	1	0	40	26	24	28	33	15	40	29	37	26	25
"slr2120"	1	0	21	4	7	9	7	13	14	26	20	17	16
"slr2121"	1	0	11	0	3	2	1	3	3	4	4	5	3
"slr2122"	1	0	19	13	6	5	11	12	25	23	26	12	18
"slr2123"	1	0	24	11	7	12	6	7	10	6	21	16	18
"slr2124"	1	0	15	6	0	4	10	6	12	10	8	7	6
"slr2125"	1	0	38	17	18	19	19	12	28	26	25	30	21
"slr2126"	1	0	45	15	20	18	11	11	38	27	33	37	27
"slr2127"	1	0	27	9	7	15	8	5	15	21	23	19	24
"slr2128"	1	0	10	2	1	0	4	5	3	4	4	3	4
"slr2130"	1	0	30	7	10	8	6	7	17	19	20	20	13
"slr2131"	1	0	66	26	14	27	24	14	48	30	44	51	43
"slr2132"	1	0	64	17	19	11	14	18	35	31	27	27	27
"slr2135"	1	0	10	5	10	9	4	4	7	3	8	6	8
"slr2136"	1	0	63	29	49	21	21	38	47	60	60	64	61
"slr2141"	1	0	69	52	52	52	54	62	44	45	56	40	42
"slr2143"	1	0	32	16	16	12	11	13	13	19	20	14	19
"slr2144"	1	0	24	7	5	6	2	3	26	21	20	19	21
"slr5005"	1	0	247	107	102	120	110	95	179	162	166	162	138
"slr5010"	1	0	2	0	0	0	0	0	0	1	1	1	0
"slr5012"	1	0	40	18	19	25	26	21	37	30	40	41	34
"slr5013"	1	0	62	24	15	20	22	22	36	33	37	28	28
"slr5016"	1	0	40	16	6	15	17	14	23	22	16	22	16
"slr5017"	1	0	10	5	7	10	10	2	6	6	6	10	10
"slr5018"	1	0	17	4	13	14	7	16	8	12	10	10	8
"slr5021"	1	0	13	3	2	2	4	2	5	10	6	9	4
"slr5022"	1	0	37	13	8	11	7	10	25	23	32	25	24
"slr5023"	1	0	54	17	15	33	15	15	25	30	25	26	18
"slr5024"	1	0	28	11	9	18	13	11	15	19	15	9	15
"slr5029"	1	0	9	1	0	0	1	0	7	3	3	3	1
"slr5037"	1	0	19	18	14	12	8	19	38	35	33	26	30
"slr5038"	1	0	17	4	6	8	5	2	13	10	12	14	15
"slr5040"	1	0	5	0	0	0	1	0	3	0	5	2	1
"slr5051"	1	0	35	13	15	16	19	11	16	13	15	19	20
"slr5053"	1	0	9	1	1	1	4	2	2	2	5	0	3
"slr5054"	1	0	38	11	9	7	11	17	14	32	22	22	19
"slr5055"	1	0	37	18	8	13	15	5	30	46	39	39	31
"slr5056"	1	0	39	20	17	17	15	24	33	24	21	34	22
"slr5058"	1	0	67	30	17	40	31	29	48	58	44	44	39
"slr5071"	1	0	19	16	21	14	15	14	15	14	16	19	17
"slr5073"	1	0	10	5	3	5	3	10	4	6	7	9	10
"slr5077"	1	0	7	1	0	0	1	2	9	2	8	3	11
"slr5078"	1	0	30	12	14	11	14	7	15	16	24	20	14
"slr5082"	1	0	2	0	0	0	0	0	1	0	0	0	1
"slr5085"	1	0	16	4	6	6	7	6	5	7	9	7	7
"slr5087"	1	0	19	16	7	12	6	15	16	12	11	17	12
"slr5088"	1	0	29	8	5	10	11	6	22	10	18	19	16
"slr5093"	1	0	50	14	12	5	15	7	38	27	30	35	25
"slr5101"	1	0	29	20	9	11	12	12	12	11	15	20	12
"slr5102"	1	0	26	22	18	21	19	13	13	24	14	14	14
"slr5105"	1	0	3	1	1	0	2	1	1	2	1	0	0
"slr5110"	1	0	20	10	10	7	10	9	6	20	13	14	16
"slr5111"	1	0	24	10	9	18	11	10	20	31	14	13	16
"slr5112"	1	0	57	19	18	21	18	10	37	32	37	33	28
"slr5115"	1	0	34	22	24	23	19	18	36	28	21	27	32
"slr5116"	1	0	12	1	2	1	3	1	4	2	12	9	3
"slr5118"	1	0	10	1	4	0	1	1	4	0	4	1	4
"slr5119"	1	0	3	1	0	0	0	2	1	0	1	2	1
"slr5124"	1	0	8	1	0	2	4	0	0	3	2	3	2
"slr5126"	1	0	31	21	16	17	23	14	27	18	25	25	23
"slr5127"	1	0	36	11	19	21	23	16	34	37	38	34	36
"slr6001"	1	0	108	55	42	46	44	52	83	87	96	75	84
"slr6031"	1	0	77	32	25	43	36	24	45	48	47	40	50
"slr6033"	1	0	30	16	32	26	23	16	32	31	26	29	33
"slr6034"	1	0	5	1	2	2	2	6	0	2	4	2	6
"slr6037"	1	0	2	0	1	0	4	0	1	0	1	3	0
"slr6038"	1	0	12	1	5	2	2	2	12	11	5	6	12
"slr6039"	1	0	4	0	0	4	0	0	0	4	4	1	2
"slr6040"	1	0	10	3	0	1	1	1	2	6	6	10	5
"slr6041"	1	0	1	0	0	0	0	0	0	0	0	0	1
"slr6042"	1	0	57	24	11	19	26	17	30	36	38	32	36
"slr6043"	1	0	89	25	30	30	26	33	74	55	53	61	47
"slr6044"	1	0	9	2	4	2	2	3	4	6	8	9	12
"slr6045"	1	0	10	0	0	1	3	4	11	8	10	8	12
"slr6047"	1	0	189	93	105	96	108	78	130	116	145	137	116
"slr6049"	1	0	18	9	6	4	6	6	11	8	15	14	12
"slr6050"	1	0	185	100	88	91	79	104	128	130	125	149	132
"slr6051"	1	0	21	13	11	9	16	9	17	19	17	21	13
"slr6056"	1	0	14	1	0	1	4	5	9	5	12	16	10
"slr6057"	1	0	31	27	17	13	15	17	26	26	25	33	30
"slr6058"	1	0	12	3	3	1	4	0	8	4	11	7	6
"slr6090"	1	0	125	43	46	48	67	42	95	88	71	77	78
"slr6091"	1	0	37	18	13	13	16	12	25	17	18	24	22
"slr6094"	1	0	9	2	7	7	2	2	7	13	7	6	4
"slr6095"	1	0	81	47	57	49	46	62	84	80	88	101	85
"slr6096"	1	0	63	48	45	35	28	39	44	52	39	31	46
"slr6097"	1	0	72	41	38	29	29	38	41	47	54	44	49
"slr6100"	1	0	22	27	21	25	25	16	21	21	28	29	26
"slr6101"	1	0	12	5	5	5	13	3	4	7	9	11	4
"slr6102"	1	0	153	75	73	91	89	53	107	116	112	105	116
"slr6103"	1	0	41	24	12	13	12	12	11	18	18	22	18
"slr6104"	1	0	18	13	15	17	11	5	16	22	9	14	8
"slr6106"	1	0	63	24	9	21	19	18	44	44	41	39	31
"slr6107"	1	0	9	1	0	0	1	3	5	5	7	5	8
"slr6108"	1	0	49	43	34	40	40	49	49	48	50	42	30
"slr6110"	1	0	42	12	12	15	14	18	26	31	25	31	31
"slr7005"	1	0	11	2	2	2	2	0	4	3	4	3	0
"slr7010"	1	0	107	59	62	62	55	57	97	90	92	89	83
"slr7011"	1	0	129	69	68	63	56	59	103	97	112	107	108
"slr7012"	1	0	42	29	26	24	24	21	46	29	35	31	38
"slr7013"	1	0	25	11	10	13	10	9	13	18	11	11	14
"slr7014"	1	0	33	17	16	11	15	16	28	28	22	25	38
"slr7015"	1	0	39	5	6	8	12	13	19	22	19	24	25
"slr7016"	1	0	64	17	17	21	29	19	25	31	25	24	24
"slr7023"	1	0	64	39	33	42	28	42	38	40	45	51	47
"slr7024"	1	0	104	38	38	37	51	39	78	60	65	70	54
"slr7025"	1	0	32	22	26	21	19	26	23	21	24	24	17
"slr7026"	1	0	30	15	16	14	18	12	34	21	24	21	20
"slr7032"	1	0	26	3	11	15	11	17	13	16	18	20	18
"slr7037"	1	0	131	39	36	27	45	37	64	58	66	93	65
"slr7041"	1	0	10	4	2	3	5	1	10	4	11	14	10
"slr7049"	1	0	50	32	38	42	41	34	39	56	45	49	47
"slr7052"	1	0	12	19	25	26	19	24	24	16	16	19	20
"slr7054"	1	0	45	19	18	25	18	15	34	48	41	45	41
"slr7057"	1	0	45	12	23	21	18	22	28	30	40	41	26
"slr7058"	1	0	18	5	10	7	5	6	9	11	12	13	15
"slr7059"	1	0	31	19	13	8	18	21	25	25	17	21	16
"slr7060"	1	0	68	33	32	44	37	22	45	42	51	50	47
"slr7061"	1	0	39	26	35	37	31	30	38	37	43	48	46
"slr7068"	1	0	38	15	10	14	10	14	26	25	28	26	28
"slr7071"	1	0	32	14	16	15	19	9	18	17	13	28	24
"slr7073"	1	0	23	8	7	8	8	11	11	8	11	8	8
"slr7076"	1	0	24	12	16	16	18	17	19	23	17	18	15
"slr7080"	1	0	40	13	14	9	18	10	16	23	20	22	13
"slr7081"	1	0	65	52	36	38	36	38	36	48	46	41	46
"slr7082"	1	0	44	13	21	13	24	22	42	44	43	30	42
"slr7083"	1	0	46	24	12	17	19	15	26	33	34	21	25
"slr7088"	1	0	10	8	4	9	4	14	11	17	9	15	18
"slr7091"	1	0	8	1	4	0	1	6	5	2	3	3	5
"slr7092"	1	0	46	8	13	9	7	9	27	31	25	29	22
"slr7094"	1	0	6	3	5	5	4	4	14	8	9	14	10
"slr7095"	1	0	15	3	7	4	4	4	7	8	7	12	11
"slr7096"	1	0	19	8	13	8	4	5	11	5	4	6	9
"slr7097"	1	0	26	7	4	10	9	13	13	16	16	13	9
"slr7098"	1	0	28	6	6	0	8	3	17	10	17	26	12
"slr7099"	1	0	24	6	6	2	8	7	13	16	8	13	5
"slr7100"	1	0	47	33	34	32	24	32	38	27	35	35	35
"slr7101"	1	0	11	9	7	3	5	6	12	18	16	15	11
"slr7102"	1	0	44	19	14	22	21	19	27	20	26	24	25
"slr8014"	1	0	17	2	5	5	3	6	7	7	10	7	3
"slr8015"	1	0	26	11	4	9	14	2	6	8	14	15	18
"slr8016"	1	0	61	35	30	35	39	21	42	48	53	48	34
"slr8021"	1	0	31	12	13	14	14	19	16	21	20	22	20
"slr8022"	1	0	8	2	0	0	2	3	6	8	8	2	9
"slr8023"	1	0	47	19	22	17	16	22	44	42	35	33	38
"slr8026"	1	0	40	26	14	20	17	15	22	17	18	18	22
"slr8029"	1	0	31	31	26	28	30	17	21	23	16	25	19
"slr8030"	1	0	54	23	28	35	26	24	52	36	34	41	43
"slr8036"	1	0	24	10	9	18	7	13	22	24	19	19	27
"slr8037"	1	0	35	20	9	14	16	10	14	21	24	20	13
"slr8038"	1	0	120	49	29	45	46	31	74	58	66	67	67
"slr8044"	1	0	49	36	25	30	28	21	37	41	28	36	43
"slr9002"	1	0	23	6	9	11	16	5	8	6	13	15	14
"slr9003"	1	0	155	61	59	57	60	47	90	98	81	86	90
"slr9101"	1	0	83	39	42	41	48	39	66	79	60	59	60
"slr9102"	1	0	20	12	7	9	5	8	18	12	21	21	14
"slr9201"	1	0	12	3	1	4	5	2	10	9	8	9	13
"slr9203"	1	0	51	12	17	17	22	25	27	34	29	34	31
"sml0001"	1	0	2	1	0	2	1	2	1	1	0	0	0
"sml0002"	1	0	3	0	0	0	0	2	1	1	0	1	0
"sml0003"	1	0	1	1	0	0	0	0	0	0	0	0	0
"sml0005"	1	0	1	2	0	2	0	3	1	3	2	1	1
"sml0006"	1	0	15	25	12	23	30	13	31	30	39	36	31
"sml0007"	1	0	5	1	0	0	0	2	2	2	3	2	0
"sml0008"	1	0	3	2	1	1	7	0	1	1	2	4	2
"sml0009"	1	0	3	1	2	0	3	0	2	1	0	3	3
"sml0010"	1	0	15	11	3	4	8	10	15	15	15	12	18
"sml0011"	1	0	15	11	11	6	9	6	7	7	6	11	8
"sml0012"	1	0	5	4	6	2	5	3	4	5	8	5	4
"sml0013"	1	0	4	5	3	2	2	2	6	2	5	2	3
"smr0001"	1	0	2	0	0	0	0	0	1	0	0	0	2
"smr0002"	1	0	2	0	0	0	0	0	0	1	1	0	0
"smr0003"	1	0	2	0	5	4	7	0	1	0	2	0	0
"smr0004"	1	0	1	0	0	0	0	0	0	0	0	1	0
"smr0005"	1	0	1	0	0	0	0	0	0	0	4	2	3
"smr0006"	1	0	1	0	0	0	0	0	0	1	2	1	2
"smr0007"	1	0	6	13	16	18	14	30	10	7	8	5	8
"smr0008"	1	0	1	4	3	4	1	1	0	1	2	3	1
"smr0010"	1	0	3	2	5	2	3	3	2	3	0	8	1
"smr0011"	1	0	16	11	21	13	10	18	13	11	13	11	9
"smr0012"	1	0	14	7	8	5	12	4	6	5	8	6	1
"smr0013"	1	0	6	0	2	2	2	0	5	4	6	6	5
"smr0014"	1	0	14	14	6	13	9	8	14	19	8	11	16
"smr0015"	1	0	1	0	0	2	2	1	0	0	0	0	0
"ssl0020"	1	0	5	5	2	4	7	2	5	5	3	1	6
"ssl0090"	1	0	18	22	18	14	16	15	16	9	12	20	14
"ssl0105"	1	0	18	14	13	10	8	4	7	9	9	9	13
"ssl0109"	1	0	14	10	16	16	14	12	19	20	14	15	18
"ssl0172"	1	0	14	18	9	6	7	3	6	12	8	12	14
"ssl0241"	1	0	19	14	15	20	18	15	13	5	11	12	13
"ssl0242"	1	0	10	16	17	11	18	7	20	23	22	16	22
"ssl0258"	1	0	21	11	12	10	13	13	16	18	12	22	18
"ssl0259"	1	0	4	3	3	5	4	2	1	4	4	2	6
"ssl0294"	1	0	9	4	1	5	2	1	1	3	3	5	2
"ssl0296"	1	0	5	1	0	1	1	0	3	4	1	2	6
"ssl0312"	1	0	18	10	6	7	14	5	9	11	16	16	20
"ssl0318"	1	0	7	8	5	6	4	7	3	3	4	2	2
"ssl0323"	1	0	7	1	1	4	2	3	3	4	4	4	3
"ssl0331"	1	0	11	2	8	6	3	8	5	3	7	13	8
"ssl0350"	1	0	2	1	0	0	0	1	3	1	4	0	3
"ssl0352"	1	0	11	26	21	21	28	23	58	58	45	42	37
"ssl0353"	1	0	10	1	0	2	0	0	8	2	5	1	3
"ssl0385"	1	0	15	12	8	5	9	6	11	13	13	28	11
"ssl0410"	1	0	25	12	9	16	14	18	17	13	17	12	25
"ssl0426"	1	0	13	6	1	2	2	2	7	4	8	10	9
"ssl0431"	1	0	11	11	6	7	7	2	4	7	5	4	9
"ssl0438"	1	0	18	7	10	9	9	8	7	7	5	5	8
"ssl0452"	1	0	9	2	7	2	4	3	6	9	7	7	8
"ssl0453"	1	0	9	3	4	5	3	4	12	7	12	4	3
"ssl0461"	1	0	12	3	2	2	2	3	15	11	16	19	20
"ssl0467"	1	0	21	7	17	15	10	11	23	28	31	28	14
"ssl0483"	1	0	6	7	4	4	3	1	7	5	7	7	6
"ssl0511"	1	0	17	7	2	8	8	6	10	10	8	11	11
"ssl0546"	1	0	29	19	23	17	34	28	32	38	46	52	56
"ssl0563"	1	0	22	46	66	54	41	77	74	58	59	69	80
"ssl0564"	1	0	9	3	5	4	2	2	6	8	8	4	5
"ssl0601"	1	0	15	2	15	6	13	10	8	10	12	10	9
"ssl0606"	1	0	6	4	1	4	1	1	2	2	2	5	3
"ssl0707"	1	0	21	27	21	18	36	4	63	48	83	117	142
"ssl0738"	1	0	9	0	1	1	2	0	3	6	4	4	6
"ssl0739"	1	0	9	3	2	4	0	1	6	2	2	8	2
"ssl0750"	1	0	14	4	13	10	8	8	17	12	14	13	16
"ssl0769"	1	0	8	3	1	2	1	1	4	2	3	3	4
"ssl0787"	1	0	6	2	3	1	5	4	5	7	5	5	4
"ssl0788"	1	0	6	2	1	1	1	0	1	2	5	5	3
"ssl0832"	1	0	15	7	8	4	11	12	7	9	14	14	13
"ssl0900"	1	0	3	0	1	1	0	1	2	0	1	4	6
"ssl1004"	1	0	11	4	6	3	3	4	7	9	3	12	11
