# Protein abundances computed from file 'C:\Users\timot\AppData\Local\Temp\knime_KNIME_project41745\fs-IDMer_0-71-41787\000\000\IDMerger_0\20170419_GM_Cyano_1000_R1_BC1_01_2485.idXML'
# Parameters (relevant only): top=0, average=sum
# Files/samples associated with abundance values below: 1: 'MS-GF+_2019-01-05T22:59:50', 2: 'MS-GF+_2019-01-06T09:31:45', 3: 'MS-GF+_2019-01-06T10:13:29', 4: 'MS-GF+_2019-01-06T10:58:19', 5: 'MS-GF+_2019-01-06T11:44:39', 6: 'MS-GF+_2019-01-06T13:08:17', 7: 'MS-GF+_2019-01-06T14:31:32', 8: 'MS-GF+_2019-01-06T15:56:55', 9: 'MS-GF+_2019-01-06T17:17:30', 10: 'MS-GF+_2019-01-06T18:32:53'
"protein"	"n_proteins"	"protein_score"	"n_peptides"	"abundance_1"	"abundance_2"	"abundance_3"	"abundance_4"	"abundance_5"	"abundance_6"	"abundance_7"	"abundance_8"	"abundance_9"	"abundance_10"
"slr0921"	1	0	14	8	27	17	20	9	6	5	3	8	10
"slr0922"	1	0	43	21	32	36	41	36	37	24	29	24	28
"slr0923"	1	0	16	16	17	19	23	16	41	36	41	55	56
"slr0924"	1	0	11	7	14	11	12	12	45	65	81	94	60
"slr0925"	1	0	34	58	41	62	37	36	49	41	58	51	38
"slr0926"	1	0	7	7	12	11	8	4	4	6	6	2	2
"slr0929"	1	0	40	26	21	24	11	17	32	24	19	24	26
"slr0930"	1	0	52	24	19	16	20	16	25	23	31	25	21
"slr0935"	1	0	9	5	7	3	5	7	6	6	4	1	7
"slr0936"	1	0	33	10	15	9	7	9	10	14	12	12	15
"slr0937"	1	0	31	26	17	18	15	15	15	22	26	18	22
"slr0938"	1	0	52	31	23	26	31	19	35	27	25	29	19
"slr0940"	1	0	75	43	38	39	38	43	58	46	51	47	56
"slr0941"	1	0	23	11	17	11	13	20	11	8	11	16	21
"slr0942"	1	0	20	31	30	21	29	34	18	19	20	29	32
"slr0943"	1	0	42	33	27	38	36	31	55	55	43	46	39
"slr0944"	1	0	18	17	16	11	17	17	8	2	6	6	5
"slr0945"	1	0	65	71	50	46	44	44	62	68	50	68	57
"slr0946"	1	0	37	28	31	39	32	28	28	35	31	26	37
"slr0947"	1	0	53	45	38	44	41	62	49	46	53	52	43
"slr0948"	1	0	24	15	18	15	21	10	17	12	13	16	20
"slr0949"	1	0	18	10	12	10	4	5	14	16	15	13	12
"slr0950"	1	0	42	22	16	16	16	20	20	15	15	17	22
"slr0951"	1	0	29	36	31	31	34	23	18	25	11	24	19
"slr0952"	1	0	53	28	21	44	29	22	21	28	22	32	25
"slr0953"	1	0	19	6	5	9	7	9	9	8	9	4	7
"slr0954"	1	0	22	20	30	15	29	21	14	14	17	17	13
"slr0955"	1	0	120	74	74	74	62	62	54	63	72	60	64
"slr0957"	1	0	20	14	5	15	8	11	13	14	20	14	15
"slr0958"	1	0	73	48	75	40	65	77	48	58	50	49	62
"slr0959"	1	0	27	4	7	6	9	10	7	11	10	15	8
"slr0960"	1	0	33	26	27	23	28	22	36	36	34	26	30
"slr0962"	1	0	59	30	16	25	26	26	33	30	31	25	39
"slr0963"	1	0	185	147	191	126	141	172	155	166	161	154	159
"slr0964"	1	0	15	1	4	5	3	8	6	5	5	4	4
"slr0965"	1	0	41	35	43	29	30	38	40	38	32	41	40
"slr0966"	1	0	30	18	17	13	15	22	28	28	33	25	29
"slr0967"	1	0	5	3	4	1	2	1	4	6	2	3	1
"slr0969"	1	0	53	26	46	45	49	41	18	25	22	24	33
"slr0971"	1	0	49	28	27	25	17	25	26	26	29	30	29
"slr0974"	1	0	116	107	144	112	136	155	148	131	130	172	141
"slr0975"	1	0	28	8	19	8	11	14	10	14	19	11	14
"slr0976"	1	0	34	15	13	17	11	14	9	21	13	13	10
"slr0977"	1	0	22	14	14	10	26	21	11	10	4	8	12
"slr0978"	1	0	97	64	79	62	80	66	63	60	68	66	60
"slr0980"	1	0	49	65	55	54	51	46	47	33	50	36	42
"slr0981"	1	0	24	5	7	6	14	9	8	10	7	5	5
"slr0982"	1	0	128	158	166	143	161	144	125	120	133	132	123
"slr0983"	1	0	32	32	28	24	30	17	33	25	32	31	30
"slr0984"	1	0	55	61	47	60	48	74	32	29	31	47	27
"slr0985"	1	0	25	19	29	23	32	33	30	27	22	24	24
"slr0989"	1	0	56	26	23	27	27	21	22	36	24	25	22
"slr0990"	1	0	38	14	17	17	19	11	22	24	28	29	32
"slr0992"	1	0	8	0	2	2	2	4	5	6	2	4	3
"slr0993"	1	0	49	73	57	47	47	58	23	36	34	43	37
"slr0994"	1	0	36	18	18	13	14	17	20	17	19	11	24
"slr1019"	1	0	16	11	19	11	6	15	8	14	10	13	19
"slr1020"	1	0	55	52	39	45	36	34	53	66	67	50	58
"slr1022"	1	0	50	24	35	27	32	32	58	48	59	57	64
"slr1023"	1	0	10	8	8	4	3	3	8	10	4	5	1
"slr1024"	1	0	37	14	11	13	13	15	15	10	18	10	15
"slr1025"	1	0	4	0	0	0	1	1	1	1	1	0	0
"slr1028"	1	0	73	45	47	35	43	32	37	32	27	35	33
"slr1030"	1	0	79	46	59	42	41	49	37	35	43	45	39
"slr1031"	1	0	59	26	39	42	38	31	59	48	52	51	43
"slr1032"	1	0	38	21	17	30	13	19	28	24	21	29	30
"slr1033"	1	0	73	38	46	40	59	70	34	44	47	52	44
"slr1034"	1	0	41	41	31	26	37	26	40	36	34	40	30
"slr1035"	1	0	32	16	21	13	19	18	18	14	11	9	10
"slr1037"	1	0	10	2	1	1	1	2	1	2	5	6	5
"slr1039"	1	0	25	9	9	9	11	15	19	10	12	8	12
"slr1041"	1	0	50	19	23	12	18	16	15	23	12	15	14
"slr1042"	1	0	39	41	32	32	37	44	62	62	58	66	49
"slr1043"	1	0	17	14	12	26	6	16	19	21	27	24	20
"slr1044"	1	0	72	50	47	39	48	44	41	55	38	32	32
"slr1045"	1	0	15	3	8	8	9	7	4	6	7	7	6
"slr1046"	1	0	25	28	24	26	18	26	11	19	11	10	11
"slr1047"	1	0	68	31	45	20	45	54	41	40	40	45	57
"slr1048"	1	0	202	102	118	66	99	105	93	99	91	103	111
"slr1050"	1	0	24	46	39	38	31	41	21	25	23	22	18
"slr1051"	1	0	21	3	11	8	7	11	15	11	11	14	16
"slr1052"	1	0	53	28	26	28	35	23	27	32	30	30	24
"slr1053"	1	0	39	15	9	13	11	8	13	21	16	16	16
"slr1055"	1	0	217	182	162	164	168	172	240	231	264	263	277
"slr1056"	1	0	164	77	66	63	73	90	62	63	57	65	70
"slr1062"	1	0	33	21	13	18	18	16	30	27	15	16	29
"slr1063"	1	0	150	74	89	78	79	99	95	107	93	93	99
"slr1064"	1	0	69	32	53	36	57	65	43	42	49	54	40
"slr1065"	1	0	68	44	37	35	44	41	38	33	40	28	42
"slr1066"	1	0	85	48	66	46	59	49	76	77	60	73	59
"slr1067"	1	0	41	30	38	34	39	21	29	24	17	33	21
"slr1068"	1	0	47	41	43	57	31	42	65	48	41	50	35
"slr1069"	1	0	25	11	21	22	26	15	17	23	15	16	21
"slr1070"	1	0	76	33	57	44	41	39	51	42	54	57	42
"slr1071"	1	0	44	35	30	22	43	35	47	44	40	41	39
"slr1072"	1	0	40	31	27	15	19	23	15	18	17	13	18
"slr1073"	1	0	34	12	10	12	20	8	28	25	27	18	12
"slr1074"	1	0	36	19	13	14	17	13	24	25	22	25	20
"slr1076"	1	0	44	26	28	33	27	21	29	22	20	27	31
"slr1077"	1	0	40	12	16	16	16	16	16	14	6	8	14
"slr1078"	1	0	8	2	1	3	0	2	4	3	3	1	5
"slr1079"	1	0	128	69	96	96	103	99	98	85	79	93	99
"slr1081"	1	0	26	12	12	14	15	16	10	8	17	16	8
"slr1082"	1	0	62	56	72	48	60	57	53	50	39	52	54
"slr1083"	1	0	18	11	5	8	7	3	6	5	4	8	2
"slr1084"	1	0	22	11	8	14	6	8	19	18	23	11	20
"slr1085"	1	0	72	32	44	34	37	35	32	32	29	28	31
"slr1087"	1	0	34	11	13	16	16	12	23	22	26	16	18
"slr1090"	1	0	50	26	22	26	22	23	41	46	46	33	47
"slr1093"	1	0	14	13	12	12	6	13	10	6	4	6	4
"slr1094"	1	0	43	9	10	13	14	9	18	17	16	22	16
"slr1095"	1	0	37	13	12	21	14	11	22	17	13	14	21
"slr1096"	1	0	70	14	20	25	17	20	54	40	47	45	44
"slr1097"	1	0	28	16	19	18	19	15	44	37	29	32	38
"slr1098"	1	0	36	47	41	45	46	43	32	22	37	27	25
"slr1099"	1	0	22	11	8	13	9	6	12	10	12	14	17
"slr1100"	1	0	70	56	57	41	42	51	83	87	91	78	83
"slr1101"	1	0	8	3	3	4	3	2	10	6	2	4	6
"slr1102"	1	0	140	78	108	92	114	130	94	104	113	108	110
"slr1103"	1	0	95	46	53	51	40	36	54	68	80	57	53
"slr1104"	1	0	94	35	52	38	50	56	53	52	54	60	35
"slr1105"	1	0	92	96	83	63	61	55	174	161	180	204	161
"slr1106"	1	0	44	23	13	20	14	14	21	26	24	24	33
"slr1107"	1	0	56	25	48	24	24	39	25	14	25	22	24
"slr1109"	1	0	27	14	12	5	4	7	16	10	16	21	16
"slr1110"	1	0	14	10	9	11	8	7	17	13	17	18	19
"slr1113"	1	0	54	31	28	18	33	31	25	14	26	28	20
"slr1114"	1	0	37	35	47	43	41	48	31	25	34	33	16
"slr1115"	1	0	43	24	26	17	21	19	19	24	21	12	16
"slr1116"	1	0	32	20	16	23	20	14	51	35	42	39	26
"slr1117"	1	0	58	91	91	87	95	78	73	75	74	69	71
"slr1118"	1	0	34	25	13	18	18	21	40	36	40	40	36
"slr1119"	1	0	38	19	21	25	24	16	16	25	20	39	30
"slr1120"	1	0	20	41	29	34	37	32	36	29	23	35	38
"slr1122"	1	0	60	23	27	32	21	21	28	26	25	24	22
"slr1123"	1	0	34	21	21	16	20	15	23	18	16	20	18
"slr1124"	1	0	59	37	37	42	49	43	57	47	47	49	48
"slr1125"	1	0	32	14	15	12	9	15	13	20	17	19	10
"slr1127"	1	0	18	30	25	35	19	29	23	20	11	13	20
"slr1128"	1	0	94	59	41	51	54	50	80	85	86	76	58
"slr1129"	1	0	194	136	162	138	167	161	149	147	136	142	136
"slr1130"	1	0	37	22	29	23	25	27	24	12	11	17	12
"slr1133"	1	0	70	47	45	36	38	47	44	43	41	34	34
"slr1134"	1	0	28	12	23	14	11	10	9	18	9	11	18
"slr1135"	1	0	202	124	157	112	99	105	128	141	136	134	136
"slr1136"	1	0	8	2	7	2	3	4	3	4	6	9	3
"slr1137"	1	0	22	26	28	17	21	41	33	31	27	31	31
"slr1138"	1	0	16	45	34	42	44	40	16	25	18	12	16
"slr1139"	1	0	14	8	10	10	6	6	10	13	13	9	15
"slr1140"	1	0	52	43	45	44	40	36	85	83	94	84	92
"slr1142"	1	0	28	16	15	6	16	17	9	7	18	18	19
"slr1143"	1	0	59	54	56	50	74	71	35	55	61	46	43
"slr1145"	1	0	20	6	16	10	18	13	8	9	13	13	15
"slr1147"	1	0	47	43	29	37	34	27	32	24	21	22	22
"slr1148"	1	0	26	17	13	21	14	9	9	12	12	16	10
"slr1149"	1	0	95	45	54	43	53	52	54	52	67	55	57
"slr1150"	1	0	13	23	13	18	26	26	21	32	18	24	19
"slr1152"	1	0	61	36	41	30	37	41	20	29	25	30	35
"slr1159"	1	0	42	17	18	11	7	19	29	40	42	37	38
"slr1160"	1	0	13	17	17	24	18	21	26	30	22	25	20
"slr1161"	1	0	62	44	31	37	27	34	82	70	77	57	47
"slr1162"	1	0	41	49	47	40	36	52	46	52	58	49	40
"slr1163"	1	0	21	6	4	3	7	5	16	17	21	18	7
"slr1164"	1	0	134	64	81	54	58	78	92	85	78	102	95
"slr1165"	1	0	88	88	75	73	71	70	128	136	117	125	113
"slr1166"	1	0	38	13	28	22	26	23	26	24	24	23	20
"slr1167"	1	0	35	11	13	10	10	7	10	12	14	6	14
"slr1168"	1	0	15	16	9	6	6	9	11	9	2	10	16
"slr1169"	1	0	20	5	5	2	4	3	12	10	14	15	9
"slr1171"	1	0	22	15	11	12	15	11	19	24	26	23	29
"slr1173"	1	0	81	75	64	58	50	55	135	135	133	130	106
"slr1174"	1	0	18	23	34	25	23	19	13	12	10	9	14
"slr1176"	1	0	109	78	82	94	88	94	127	99	105	111	104
"slr1177"	1	0	21	17	6	12	9	5	10	12	14	11	20
"slr1178"	1	0	8	19	19	22	17	15	2	4	7	9	4
"slr1179"	1	0	41	25	27	21	20	25	29	24	21	32	30
"slr1181"	1	0	6	10	10	1	6	6	4	16	11	6	13
"slr1182"	1	0	21	22	14	14	14	15	40	31	21	39	35
"slr1183"	1	0	13	11	4	8	6	13	7	10	9	14	9
"slr1184"	1	0	13	8	8	6	6	10	3	2	6	2	5
"slr1185"	1	0	14	17	14	13	10	13	12	9	16	11	15
"slr1186"	1	0	19	12	13	7	9	13	10	8	8	13	10
"slr1187"	1	0	10	18	18	22	16	17	10	8	6	7	12
"slr1188"	1	0	73	30	39	35	34	21	27	31	32	28	31
"slr1189"	1	0	34	15	25	12	13	19	16	20	28	19	17
"slr1192"	1	0	16	4	8	11	7	3	8	9	9	13	8
"slr1194"	1	0	33	11	20	20	14	17	29	13	18	13	19
"slr1195"	1	0	8	17	15	12	17	14	13	15	13	13	8
"slr1196"	1	0	52	36	50	57	40	39	44	59	63	64	65
"slr1197"	1	0	43	19	10	29	21	15	22	28	18	26	14
"slr1198"	1	0	26	29	20	30	25	27	35	35	35	31	29
"slr1199"	1	0	61	35	31	31	33	35	27	23	27	26	24
"slr1200"	1	0	14	3	3	2	8	3	9	5	4	7	3
"slr1201"	1	0	26	11	14	17	16	15	12	7	12	10	10
"slr1202"	1	0	19	26	34	20	36	29	19	13	20	17	18
"slr1203"	1	0	37	28	22	29	14	21	24	18	18	22	17
"slr1204"	1	0	45	29	35	45	41	36	57	54	52	61	52
"slr1205"	1	0	13	4	5	2	6	4	8	16	10	12	10
"slr1206"	1	0	34	11	14	14	14	11	26	29	21	23	28
"slr1207"	1	0	77	41	65	40	50	50	51	58	46	64	43
"slr1208"	1	0	94	50	60	49	55	74	58	79	64	68	68
"slr1209"	1	0	9	4	4	2	3	4	10	3	8	7	7
"slr1210"	1	0	32	11	14	14	16	12	14	16	7	13	13
"slr1211"	1	0	117	36	48	37	40	52	52	73	62	55	50
"slr1212"	1	0	132	60	70	58	66	85	60	58	56	64	57
"slr1213"	1	0	36	16	17	13	15	13	17	24	25	33	31
"slr1214"	1	0	46	16	20	21	25	26	22	17	13	19	22
"slr1215"	1	0	8	1	3	1	1	3	3	1	1	0	2
"slr1216"	1	0	48	30	33	18	26	25	33	21	25	34	32
"slr1218"	1	0	35	9	9	5	8	9	11	17	20	13	9
"slr1219"	1	0	23	7	17	19	16	16	8	10	13	12	9
"slr1220"	1	0	41	30	42	32	34	31	53	52	54	44	42
"slr1222"	1	0	51	27	29	26	27	32	36	28	29	32	25
"slr1223"	1	0	43	31	31	23	21	28	35	38	34	24	27
"slr1224"	1	0	64	36	34	20	28	31	41	46	38	46	46
"slr1225"	1	0	52	38	36	27	34	28	31	38	42	54	40
"slr1226"	1	0	52	31	34	31	27	43	54	62	65	54	56
"slr1227"	1	0	60	37	41	25	43	30	32	27	37	44	33
"slr1228"	1	0	115	94	70	51	57	59	83	91	85	92	93
"slr1229"	1	0	30	10	10	8	14	6	13	19	15	14	13
"slr1230"	1	0	46	18	14	16	15	17	35	23	13	20	13
"slr1232"	1	0	25	13	13	10	18	14	10	10	15	13	10
"slr1233"	1	0	132	149	128	111	128	122	151	138	149	135	137
"slr1234"	1	0	10	11	8	10	9	12	13	10	16	16	16
"slr1235"	1	0	25	13	9	12	9	12	10	18	12	10	9
"slr1236"	1	0	27	7	21	13	16	17	20	18	27	17	16
"slr1237"	1	0	55	37	31	39	40	30	47	41	51	50	36
"slr1238"	1	0	38	27	23	18	19	13	58	57	52	50	47
"slr1239"	1	0	69	60	34	59	54	49	56	64	62	67	59
"slr1240"	1	0	79	45	49	26	51	45	42	45	48	50	54
"slr1241"	1	0	18	21	11	4	6	11	4	12	8	9	9
"slr1243"	1	0	299	151	164	142	151	163	154	163	160	153	142
"slr1245"	1	0	70	23	32	16	39	34	39	44	46	49	44
"slr1246"	1	0	21	15	10	16	9	17	21	18	28	19	11
"slr1247"	1	0	54	21	20	22	22	11	23	27	27	29	27
"slr1248"	1	0	11	21	14	13	16	19	5	2	2	1	3
"slr1249"	1	0	5	2	4	1	1	1	1	2	2	1	1
"slr1250"	1	0	41	25	26	19	18	20	20	19	25	26	28
"slr1251"	1	0	21	24	36	40	37	47	29	38	48	62	56
"slr1253"	1	0	15	41	9	28	26	16	22	24	31	21	27
"slr1254"	1	0	74	78	69	72	81	56	80	82	74	92	74
"slr1255"	1	0	81	58	53	63	80	64	72	72	67	79	51
"slr1256"	1	0	23	23	31	22	24	33	39	31	31	32	27
"slr1257"	1	0	27	22	17	23	18	16	17	18	14	18	25
"slr1258"	1	0	28	14	14	12	17	7	31	37	32	38	30
"slr1259"	1	0	40	23	13	19	16	22	35	31	37	49	50
"slr1260"	1	0	24	12	12	9	13	14	8	15	18	14	17
"slr1261"	1	0	14	2	5	4	5	1	2	11	6	8	9
"slr1262"	1	0	8	2	3	1	0	0	1	2	2	3	2
"slr1263"	1	0	53	47	35	49	48	47	37	38	39	49	31
"slr1265"	1	0	169	135	149	101	123	132	135	124	153	160	137
"slr1266"	1	0	5	5	5	9	1	2	13	10	11	11	15
"slr1267"	1	0	30	27	32	22	31	16	19	10	16	16	17
"slr1269"	1	0	48	26	33	23	25	27	29	28	30	36	33
"slr1270"	1	0	88	34	39	41	42	43	52	65	45	55	56
"slr1271"	1	0	53	39	47	40	41	58	44	53	37	48	32
"slr1272"	1	0	36	20	27	20	33	34	48	43	47	37	37
"slr1273"	1	0	18	23	20	22	21	24	21	25	23	22	22
"slr1274"	1	0	35	28	25	15	22	27	35	41	38	30	36
"slr1275"	1	0	17	17	16	13	11	20	15	28	17	21	8
"slr1276"	1	0	25	16	7	16	10	12	20	20	26	21	27
"slr1277"	1	0	60	30	28	41	39	43	51	50	66	82	70
"slr1278"	1	0	66	39	34	34	25	32	30	25	29	32	31
"slr1279"	1	0	3	2	6	11	17	10	3	0	5	5	4
"slr1280"	1	0	41	42	33	39	37	39	78	81	93	50	38
"slr1281"	1	0	26	13	9	18	14	10	33	36	33	22	24
"slr1282"	1	0	93	45	51	42	35	48	38	42	44	41	47
"slr1283"	1	0	41	20	14	13	17	9	20	18	11	19	18
"slr1285"	1	0	70	28	27	28	35	34	35	35	37	56	38
"slr1287"	1	0	22	15	7	1	5	9	20	21	16	22	9
"slr1288"	1	0	6	9	4	4	6	1	5	15	8	13	5
"slr1289"	1	0	99	44	56	56	73	54	65	64	65	77	70
"slr1290"	1	0	27	9	16	6	10	10	19	22	27	19	18
"slr1291"	1	0	11	14	15	11	16	19	3	4	7	5	5
"slr1293"	1	0	56	15	35	27	25	37	21	22	26	26	26
"slr1295"	1	0	51	45	42	36	36	38	21	17	18	22	21
"slr1298"	1	0	106	48	46	52	45	32	59	54	45	58	54
"slr1299"	1	0	63	28	28	22	34	24	57	58	54	58	46
"slr1300"	1	0	55	31	28	38	34	27	25	35	25	33	20
"slr1301"	1	0	145	77	106	100	105	92	113	116	98	107	98
"slr1302"	1	0	69	86	79	68	76	55	144	118	118	126	104
"slr1303"	1	0	77	105	74	77	94	73	82	91	85	74	85
"slr1305"	1	0	163	91	98	86	101	111	106	133	111	110	96
"slr1306"	1	0	39	44	42	46	62	46	24	16	23	24	27
"slr1307"	1	0	31	8	13	14	15	15	11	17	10	17	16
"slr1312"	1	0	87	86	53	55	58	61	119	106	123	131	114
"slr1315"	1	0	29	18	16	11	14	15	23	21	30	20	24
"slr1316"	1	0	15	28	37	30	35	29	19	20	15	12	28
"slr1317"	1	0	13	0	8	12	11	10	1	6	6	3	6
"slr1318"	1	0	22	11	3	3	3	6	7	4	12	8	9
"slr1319"	1	0	31	11	10	9	8	13	20	20	21	15	20
"slr1322"	1	0	84	53	74	64	69	85	92	88	83	76	96
"slr1324"	1	0	65	34	29	26	29	38	45	49	44	51	52
"slr1325"	1	0	216	144	179	133	152	158	123	146	159	151	169
"slr1327"	1	0	7	9	4	7	4	6	2	2	5	4	3
